a_o,codigo_departamento,departamento,codigo_municipio,municipio,hectareas_con_permisos,hectareas_en_transito_a,hectareas_explotacion_ilicita,total_evidencia_explotacion
2020,13,BOYACA,13600,RIOVIEJO,18.566547,0.0,683.668531,702.235078
2020,13,BOYACA,13655,SAN JACINTO DEL CAUCA,0.0,0.0,17.801152,17.801152
2020,13,BOYACA,13667,SAN MARTÍN DE LOBA,133.477344,79.074597,299.313168,511.865109
2020,13,BOYACA,13670,SAN PABLO,0.0,0.0,133.460758,133.460758
2020,13,BOYACA,13688,SANTA ROSA DEL SUR,430.08239,62.454574,2442.780715,2935.317679
2020,13,BOYACA,13744,SIMITÍ,266.041003,87.011399,1524.730099,1877.782501
2020,13,BOYACA,13810,TIQUISO,13.433912,0.0,132.23838,145.672292
2020,17,CALDAS,17380,LA DORADA,0.313741,0.0,1.896163,2.209904
2020,17,CALDAS,17495,NORCASIA,0.0,0.0,70.171334,70.171334
2020,17,CALDAS,17662,SAMANA,0.0,0.0,0.158565,0.158565
2020,17,CALDAS,17867,VICTORIA,30.426603,0.0,8.837158,39.263761
2020,18,CAQUETÁ,18205,CURILLO,0.0,0.0,0.892785,0.892785
2020,18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,0.0,0.0,77.42971,77.42971
2020,19,CAUCA,19100,BOLÍVAR,0.0,0.0,41.262527,41.262527
2020,19,CAUCA,19110,BUENOS AIRES,0.0,0.0,46.419248,46.419248
2020,19,CAUCA,19256,EL TAMBO,0.0,19.174522,8.612572,27.787094
2020,19,CAUCA,19318,GUAPI,0.0,3.250639,446.141864,449.392503
2020,19,CAUCA,19392,LA SIERRA,0.0,8.369419,10.463488,18.832907
2020,19,CAUCA,19418,LÓPEZ,0.0,0.0,570.420002,570.420002
2020,19,CAUCA,19450,MERCADERES,0.0,0.0,91.329963,91.329963
2020,19,CAUCA,19532,PATÍA,0.0,0.0,0.135,0.135
2020,19,CAUCA,19533,PIAMONTE,0.0,0.0,51.142492,51.142492
2020,19,CAUCA,19698,SANTANDER DE QUILICHAO,0.0,0.0,60.815749,60.815749
2020,19,CAUCA,19701,SANTA ROSA,0.0,0.0,27.832503,27.832503
2020,19,CAUCA,19809,TIMBIQUÍ,0.0,320.559333,1101.373169,1421.932502
2020,23,CORDOBA,23068,AYAPEL,78.390333,347.618587,4341.734643,4767.743563
2020,23,CORDOBA,23350,LA APARTADA,0.0,0.0,15.839999,15.839999
2020,23,CORDOBA,23580,PUERTO LIBERTADOR,0.0,0.0,48.847505,48.847505
2020,23,CORDOBA,23682,SAN JOSÉ DE URÉ,0.0,0.0,142.190383,142.190383
2020,27,CHOCÓ,27001,QUIBDÓ,139.004865,0.0,2027.616885,2166.62175
2020,27,CHOCÓ,27006,ACANDÍ,0.0,0.0,43.379999,43.379999
2020,27,CHOCÓ,27050,ATRATO (Yuto),0.469211,1.807755,1003.815178,1006.092144
2020,27,CHOCÓ,27073,BAGADÓ,48.176929,0.0,286.818784,334.995713
2020,27,CHOCÓ,27135,EL CANTÓN DEL SAN PABLO (Managrú),0.0,49.699779,5203.474824,5253.174603
2020,27,CHOCÓ,27150,CARMEN DEL DARIÉN  (Curbaradó),0.0,0.0,2.436715,2.436715
2020,27,CHOCÓ,27160,CÉRTEGUI,0.0,183.783075,1404.852231,1588.635306
2020,27,CHOCÓ,27205,CONDOTO,88.797407,796.798135,1636.898914,2522.494456
2020,27,CHOCÓ,27361,ISTMINA,1639.87199,0.0,2952.73367,4592.60566
2020,27,CHOCÓ,27413,LLORÓ,0.0,0.0,624.53334,624.53334
2020,27,CHOCÓ,27425,MEDIO ATRATO (Beté),55.256114,343.455265,1935.476864,2334.188243
2020,27,CHOCÓ,27430,MEDIO BAUDÓ(Boca de Pepé),2.339692,0.0,2.809561,5.149253
2020,27,CHOCÓ,27450,MEDIO SAN JUAN (Andagoya),0.0,144.008017,1283.612617,1427.620634
2020,27,CHOCÓ,27491,NÓVITA,1000.128381,267.061276,4054.504304,5321.693961
2020,27,CHOCÓ,27580,RIO IRÓ (Santa Rita),0.0,8.329756,388.20366,396.533416
2020,27,CHOCÓ,27600,RIO QUITO (Paimadó),0.0,411.943193,3398.237911,3810.181104
2020,27,CHOCÓ,27615,RIOSUCIO,3.760636,0.0,297.552653,301.313289
2020,27,CHOCÓ,27660,SAN JOSÉ DEL PALMAR,0.0,0.0,36.382504,36.382504
2020,27,CHOCÓ,27745,SIPÍ,82.327442,0.0,577.910037,660.237479
2020,27,CHOCÓ,27787,TADÓ,25.18447,135.670539,824.590371,985.445379999999
2020,27,CHOCÓ,27800,UNGUÍA,0.0,0.0,60.637502,60.637502
2020,27,CHOCÓ,27810,UNIÓN PANAMERICANA ( Animas),60.402875,1185.79834,1831.14628,3077.347495
2020,52,NARIÑO,52079,BARBACOAS,0.0,410.266312,1236.083058,1646.34937
2020,52,NARIÑO,52250,EL CHARCO,0.0,0.0,251.230335,251.230335
2020,52,NARIÑO,52385,LA LLANADA,0.0,0.0,5.893655,5.893655
2020,52,NARIÑO,52418,LOS ANDES,0.0,0.0,34.003104,34.003104
2020,52,NARIÑO,52427,MAGÜÍ (Payán),359.026584,24.091561,651.369608,1034.487753
2020,52,NARIÑO,52621,ROBERTO PAYÁN (San José),0.0,3.78,120.567566,124.347566
2020,52,NARIÑO,52678,SAMANIEGO,0.0,0.0,9.860006,9.860006
2020,52,NARIÑO,52696,SANTA BÁRBARA (Iscuandé),0.0,11.802849,199.730398,211.533247
2020,52,NARIÑO,52835,TUMACO,0.0,16.639262,39.800679,56.439941
2020,73,TOLIMA,73217,COYAIMA,25.021319,0.0,2.068678,27.089997
2020,76,VALLE DEL CAUCA,76109,BUENAVENTURA,0.0,0.0,755.572507,755.572507
2020,76,VALLE DEL CAUCA,76126,CALIMA,0.0,0.0,9.157501,9.157501
2020,86,PUTUMAYO,86001,MOCOA,0.0,0.0,46.453122,46.453122
2020,86,PUTUMAYO,86320,ORITO,0.0,0.0,48.2625,48.2625
2020,86,PUTUMAYO,86568,PUERTO ASÍS,0.0,0.0,8.942734,8.942734
2020,86,PUTUMAYO,86569,PUERTO CAICEDO,0.0,0.0,72.282263,72.282263
2020,86,PUTUMAYO,86571,PUERTO GUZMÁN,0.0,11.631589,180.685286,192.316875
2020,86,PUTUMAYO,86885,VILLAGARZÓN,11.155138,11.443736,13.716128,36.315002
2020,94,GUAINÍA,94001,INÍRIDA,0.0,0.0,12.555002,12.555002
2020,94,GUAINÍA,94884,PUERTO COLOMBIA,0.0,0.0,73.270222,73.270222
2020,94,GUAINÍA,94887,PANÁ-PANÁ (Campo Alegre),0.0,0.0,98.989764,98.989764
